,genome_id,source,organism,domain,phylum,class,order,family,genus,species,strain,closest_placement_reference
GCA_002328825.1,GCA_002328825.1,ncbi,UBA2166 sp002328825,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA2166,UBA2166,sp002328825,,
GCA_009594855.1,GCA_009594855.1,ncbi,Nitrospira_A sp009594855,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_A,sp009594855,,
GCA_011040095.1,GCA_011040095.1,ncbi,BMS3ABIN06 sp011040095,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,BMS3ABIN06,sp011040095,,
GCA_002083405.1,GCA_002083405.1,ncbi,Nitrospira_F sp002083405,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002083405,,
GCA_005877565.1,GCA_005877565.1,ncbi,NS-12 sp005877565,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,NS-4,NS-12,sp005877565,,
GCA_005116745.1,GCA_005116745.1,ncbi,Nitrospira_F sp005116745,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005116745,,
GCA_012517735.1,GCA_012517735.1,ncbi,JAAYUK01 sp012517735,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,JAAYUK01,sp012517735,,
GCA_005877615.1,GCA_005877615.1,ncbi,NS-12 sp005877615,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,NS-4,NS-12,sp005877615,,
GCA_002331625.1,GCA_002331625.1,ncbi,Nitrospira_F sp002331625,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002331625,,
GCA_013388435.1,GCA_013388435.1,ncbi,UBA2194 sp013388435,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,UBA2194,sp013388435,,
GCA_002448975.1,GCA_002448975.1,ncbi,UBA6898 sp002448975,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,UBA6898,sp002448975,,
GCA_003599025.1,GCA_003599025.1,ncbi,UBA6902 sp003599025,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,UBA6902,sp003599025,,
GCA_900299245.1,GCA_900299245.1,ncbi,Nitrospira_D sp900299245,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp900299245,,
GCA_005116955.1,GCA_005116955.1,ncbi,Nitrospira_F sp005116955,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp005116955,,
GCA_003535475.1,GCA_003535475.1,ncbi,UBA1546 sp003535475,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,sp003535475,,
GCA_013140455.1,GCA_013140455.1,ncbi,Nitrospira_D sp013140455,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D,sp013140455,,
GCA_002451165.1,GCA_002451165.1,ncbi,UBA6898 sp002451165,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,UBA6898,sp002451165,,
GCA_013141215.1,GCA_013141215.1,ncbi,Palsa-1315 sp013141215,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp013141215,,
GCA_003235715.1,GCA_003235715.1,ncbi,SZUA-242 sp003235715,Bacteria,Nitrospirota,Thermodesulfovibrionia,SZUA-242,SZUA-242,SZUA-242,sp003235715,,
GCF_001273775.1,GCF_001273775.1,ncbi,Nitrospira_E moscoviensis,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_E,moscoviensis,,
GCA_002331335.1,GCA_002331335.1,ncbi,Nitrospira_F sp002331335,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_F,sp002331335,,
GCA_011047655.1,GCA_011047655.1,ncbi,DSMQ01 sp011047655,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,DSMQ01,DSMQ01,sp011047655,,
GCA_001803705.1,GCA_001803705.1,ncbi,GWC2-56-14 sp001803705,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,GWC2-56-14,sp001803705,,
GCA_003454665.1,GCA_003454665.1,ncbi,UBA9217 sp003454665,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,UBA9217,sp003454665,,
GCA_014382155.1,GCA_014382155.1,ncbi,JACNKH01 sp014382155,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,JACNKH01,sp014382155,,
GCA_003599505.1,GCA_003599505.1,ncbi,SURF-11 sp003599505,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,SURF-11,sp003599505,,
GCA_001803795.1,GCA_001803795.1,ncbi,RBG-16-64-22 sp001803795,Bacteria,Nitrospirota,RBG-16-64-22,RBG-16-64-22,RBG-16-64-22,RBG-16-64-22,sp001803795,,
GCA_005877775.1,GCA_005877775.1,ncbi,NS-7 sp005877775,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,NS-7,sp005877775,,
GCA_003695915.1,GCA_003695915.1,ncbi,J017 sp003695915,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,J017,sp003695915,,
GCA_002753395.1,GCA_002753395.1,ncbi,Magnetobacterium sp002753395,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Magnetobacteriaceae,Magnetobacterium,sp002753395,,
GCA_001805125.1,GCA_001805125.1,ncbi,RBG-13-39-12 sp001805125,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,RBG-13-39-12,sp001805125,,
GCA_013152195.1,GCA_013152195.1,ncbi,BMS3Bbin07 sp013152195,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-85,BMS3Bbin07,sp013152195,,
GCA_001803815.1,GCA_001803815.1,ncbi,9FT-COMBO-42-15 sp001803815,Bacteria,Nitrospirota,Nitrospiria,9FT-COMBO-42-15,9FT-COMBO-42-15,9FT-COMBO-42-15,sp001803815,,
GCA_004296865.1,GCA_004296865.1,ncbi,SCVQ01 sp004296865,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,SCVQ01,sp004296865,,
GCA_011367585.1,GCA_011367585.1,ncbi,UBA2194 sp011367585,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,UBA2194,sp011367585,,
GCA_005116945.1,GCA_005116945.1,ncbi,Palsa-1315 sp005116945,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005116945,,
GCA_002339325.1,GCA_002339325.1,ncbi,Thermodesulfovibrio sp002339325,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,sp002339325,,
GCA_011054545.1,GCA_011054545.1,ncbi,DSOU01 sp011054545,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,DSOU01,sp011054545,,
GCA_005116815.1,GCA_005116815.1,ncbi,Palsa-1315 sp005116815,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315,sp005116815,,
GCF_001707915.1,GCF_001707915.1,ncbi,Thermodesulfovibrio sp001707915,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,sp001707915,,
